"RouterFile","RouterPrefix","RouterTags","RouterDependencies","Method","CanonicalPath","LegacyPath","Handler","HandlerFile","EndpointDependencies","AllDependencies","AuthType","Roles","MiddlewareRelevant","RequestModels","ResponseModel","DbTablesTouched"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/audit-log","/console/ui/audit-log","console.ui_audit_log","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:766","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, licenses, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/dashboard","/console/ui/dashboard","console.ui_dashboard","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:623","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, licenses, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/database/hosts","/console/ui/database/hosts","console.ui_database_hosts","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:853","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/database/payloads","/console/ui/database/payloads","console.ui_database_payloads","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:889","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/devices","/console/ui/devices","console.ui_list_devices","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:437","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/devices/{device_id}/block","/console/ui/devices/{device_id}/block","console.ui_block_device","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1650","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/devices/{device_id}/detail","/console/ui/devices/{device_id}/detail","console.ui_device_detail","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1617","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/devices/{device_id}/unblock","/console/ui/devices/{device_id}/unblock","console.ui_unblock_device","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1671","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","devices, licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\features.py","/console","features","","POST","/api/v1/console/ui/features/{feature_key}/disable","/console/ui/features/{feature_key}/disable","features.disable_feature","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\features.py:169","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","feature_overrides"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\features.py","/console","features","","GET","/api/v1/console/ui/features/overrides","/console/ui/features/overrides","features.list_feature_overrides","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\features.py:109","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","feature_overrides"
